# type	slug	load	fires_on	trigger_basename	trigger_path	trigger_grep	path	description
evolution	2026-09-16-002	cold					evolution/2026-09-16-002.md	Evolution cycle report: cycle 002 — 2026-09-16 — instance migration 3.5.0-rc.1 → 3.30.0 (OKF split, gate tooling, namespace) plus two staleness fixes.
gotcha	001-next-js-cookies-headers-only-in	warm	event				gotchas/001-next-js-cookies-headers-only-in.md	Next.js — `cookies()` / `headers()` only in a Server Component / route handler
gotcha	002-next-js-revalidatepath-revalidatetag-does-not	warm	event				gotchas/002-next-js-revalidatepath-revalidatetag-does-not.md	Next.js — `revalidatePath` / `revalidateTag` does not invalidate React Query
gotcha	003-native-node-esm-prisma-ts-via	warm	event				gotchas/003-native-node-esm-prisma-ts-via.md	Native Node ESM (`prisma/*.ts` via `node`) — you cannot re-import `src/lib/*`
gotcha	004-next-js-cache-components-cachecomponents-true	warm	event				gotchas/004-next-js-cache-components-cachecomponents-true.md	Next.js — Cache Components (`cacheComponents: true`) forbids a route without `<Suspense>`, even if you do not want PPR
gotcha	005-next-js-a-use-cache-page	warm	event				gotchas/005-next-js-a-use-cache-page.md	Next.js — a `"use cache"` page never knows who is asking (no cookies)
gotcha	006-next-js-a-root-layout-under	warm	event				gotchas/006-next-js-a-root-layout-under.md	Next.js — a root layout under a dynamic segment leaves `_not-found` orphaned
gotcha	007-pre-push-hook-runs-scoped-tests	warm	event				gotchas/007-pre-push-hook-runs-scoped-tests.md	Hooks (pre-commit/pre-push) — run scoped tests, not the full suite
gotcha	008-zod-v3-v4-string-format-validators	warm	event				gotchas/008-zod-v3-v4-string-format-validators.md	Zod v3 → v4 — string-format validators became top-level functions (deprecated, not an error)
gotcha	009-trpc-a-bare-t-procedure-skips	warm	event				gotchas/009-trpc-a-bare-t-procedure-skips.md	tRPC — a bare `t.procedure` skips the error-translation middleware
